127.0.0.1 - - [04/Oct/2018:10:35:20 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:48:40 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:48:40 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:48:43 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:49:10 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:49:11 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:43 +0530] "GET /Application/Admin/PublicView.jsp HTTP/1.1" 200 4371
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:44 +0530] "GET /Application/Admin/bgcolor=red HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:47 +0530] "GET /Application/Admin/PublicProject.jsp?piu=Ahmedabad HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:49 +0530] "GET /Application/Admin/PublicProjectReport.jsp?project=ADI-BTD%20GC&piu=&status=&doctype=&majsec=&smajsec=&frmstn=&tostn=&orgName=&backurl=&t1=7&t2=14&frmkm=&tokm=&DateStart=&DateEnd=&frmstnkm=&tostnkm=&division=none&zone= HTTP/1.1" 200 25746
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:49 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:49 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:49 +0530] "GET /Application/Admin/js/data_table/jquery.dataTables.min.js HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:49 +0530] "GET /Application/Admin/resources/css/buttons.dataTables.min.css HTTP/1.1" 200 8083
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:49 +0530] "GET /Application/Admin/resources/JS/PIU_depend230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:49 +0530] "GET /Application/Admin/resources/JS/datasort.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:51:50 +0530] "GET /Application/Admin/resources/JS/jquery.dataTables.min.js HTTP/1.1" 200 83236
