127.0.0.1 - - [22/Oct/2018:11:31:51 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:31:54 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:31:54 +0530] "GET /Application/Admin/images/Rail_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:31:54 +0530] "GET /Application/Admin/resources/JS/validateSysAdmin230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:31:54 +0530] "GET /Application/Admin/images/RVNL_LOGO.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:31:55 +0530] "GET /Application/Admin/images/PDAMS_icon.ico HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:32:36 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:33:16 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12157
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:33:18 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:35:00 +0530] "GET /Application/Admin/User_List.jsp HTTP/1.1" 200 12671
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:35:00 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:35:00 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:35:00 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:35:00 +0530] "GET /Application/Admin/resources/JS/backButton.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:35:01 +0530] "GET /Application/Admin/resources/JS/Headquarter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:35:01 +0530] "GET /Application/Admin/resources/JS/Reports230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:11:35:01 +0530] "GET /Application/Admin/resources/JS/PIU_depend230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:12:05:02 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [22/Oct/2018:12:11:49 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:12:12:27 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12157
0:0:0:0:0:0:0:1 - - [22/Oct/2018:12:42:28 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [22/Oct/2018:12:42:38 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:12:43:03 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [22/Oct/2018:12:43:04 +0530] "GET /Application/Admin/resources/css/ThmBlue.css HTTP/1.1" 200 5364
0:0:0:0:0:0:0:1 - - [22/Oct/2018:12:43:14 +0530] "GET /Application/Admin/Themes.jsp?ThmType=brown&ThmNo=1 HTTP/1.1" 200 349
