127.0.0.1 - - [17/Oct/2018:09:55:03 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:15:10 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:15:10 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:15:10 +0530] "GET /Application/Admin/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:15:10 +0530] "GET /Application/Admin/resources/JS/validateSysAdmin230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:15:24 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:16:01 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12157
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:42:28 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 70209
0:0:0:0:0:0:0:1 - - [17/Oct/2018:11:12:29 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:11:21:42 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:11:22:17 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12157
0:0:0:0:0:0:0:1 - - [17/Oct/2018:11:52:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:12:22:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:12:50:10 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:12:50:36 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [17/Oct/2018:12:55:13 +0530] "GET /Application/Admin/admn_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:12:55:13 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:12:55:25 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:12:55:59 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12157
0:0:0:0:0:0:0:1 - - [17/Oct/2018:13:26:00 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:13:56:00 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:14:26:01 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:14:56:01 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:15:26:01 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:15:56:02 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:16:26:02 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:16:56:03 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:17:26:03 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:17:56:03 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:17:56:04 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:20:22:20 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:20:22:21 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:20:22:21 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:20:22:21 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:20:52:21 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:21:22:22 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/Oct/2018:21:52:23 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
