127.0.0.1 - - [01/Jun/2018:10:20:57 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/images/Rail_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/images/RVNL_LOGO.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/resources/JS/validateSysAdmin230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:25:13 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:10:55:14 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:25:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:11:55:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:12:25:16 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:12:55:16 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:25:16 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:13:55:17 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:25:17 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:14:55:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:15:25:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:15:55:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:16:25:19 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:16:55:19 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:17:25:19 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
0:0:0:0:0:0:0:1 - - [01/Jun/2018:17:45:21 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:17:45:57 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12392
0:0:0:0:0:0:0:1 - - [01/Jun/2018:17:45:58 +0530] "GET /Application/Admin/resources/css/ThmBrown.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:17:45:58 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [01/Jun/2018:17:45:59 +0530] "GET /Application/Admin/images/mygraph.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2018:17:45:59 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [01/Jun/2018:18:15:59 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10833
