0:0:0:0:0:0:0:1 - - [21/May/2018:13:19:08 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12467
0:0:0:0:0:0:0:1 - - [21/May/2018:13:19:09 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12467
0:0:0:0:0:0:0:1 - - [21/May/2018:13:19:09 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:13:19:09 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:05 +0530] "GET /Application/Admin/admn_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:05 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10797
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:07 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:41 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12467
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:41 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:41 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/CreateProjects.jsp HTTP/1.1" 200 317357
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/resources/JS/backButton.js HTTP/1.1" 200 4009
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/resources/JS/validate230.js HTTP/1.1" 200 36726
0:0:0:0:0:0:0:1 - - [21/May/2018:13:20:48 +0530] "GET /Application/Admin/resources/JS/PIU_depend230.js HTTP/1.1" 200 21604
