127.0.0.1 - - [02/Nov/2018:10:40:58 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Nov/2018:11:01:33 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:11:09:00 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2018:11:09:41 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [02/Nov/2018:11:25:39 +0530] "GET /Application/Admin/Update.jsp HTTP/1.1" 200 12673
0:0:0:0:0:0:0:1 - - [02/Nov/2018:11:25:39 +0530] "GET /Application/Admin/resources/JS/Update230.js HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [02/Nov/2018:11:55:41 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:12:25:43 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:12:55:44 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:13:25:45 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:13:51:04 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2018:13:51:44 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [02/Nov/2018:14:21:45 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:14:51:46 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:21:47 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:21:48 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:21:48 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:22:52 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:23:32 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:48:58 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 66676
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:48:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:48:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:48:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:48:59 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:59:24 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 66676
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:59:24 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:59:24 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:59:25 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [02/Nov/2018:15:59:25 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:08:45 +0530] "GET /Application/Admin/projectdisplay.jsp?PIU_of_RVNL=&zone_name=&division=&proj_type= HTTP/1.1" 200 8705
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:29:25 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10959
0:0:0:0:0:0:0:1 - - [02/Nov/2018:16:59:26 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [02/Nov/2018:17:03:09 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2018:17:03:45 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [02/Nov/2018:17:33:46 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10955
