127.0.0.1 - - [16/Jul/2018:10:33:16 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:33:22 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:33:22 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:33:22 +0530] "GET /Application/Admin/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:33:22 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:33:22 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:33:22 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/jquery-3.3.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:33:23 +0530] "GET /Application/Admin/images/Rail_Rvnl_Home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:39:30 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:39:30 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:39:54 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:40:22 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:40:24 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:40:41 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 35473
0:0:0:0:0:0:0:1 - - [16/Jul/2018:10:45:07 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css.map HTTP/1.1" 304 -
