127.0.0.1 - - [13/Jun/2018:10:18:13 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:18:20 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:18:21 +0530] "GET /Application/Admin/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:18:21 +0530] "GET /Application/Admin/images/PDAMS_icon.ico HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:18:24 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:18:58 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13726
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:18:59 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:19:59 +0530] "GET /Application/Admin/CreateProjects.jsp HTTP/1.1" 200 318422
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:19:59 +0530] "GET /Application/Admin/resources/JS/Approval_wf230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:19:59 +0530] "GET /Application/Admin/resources/JS/validate230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:19:59 +0530] "GET /Application/Admin/resources/JS/PIU_depend230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:19:59 +0530] "GET /Application/Admin/resources/JS/backButton.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2018:10:50:00 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [13/Jun/2018:11:20:01 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
