127.0.0.1 - - [03/Jul/2018:11:06:26 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/images/RVNL_LOGO.jpg HTTP/1.1" 200 6755
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/images/Rail_logo.png HTTP/1.1" 200 6751
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css HTTP/1.1" 200 26132
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/resources/JS/validateSysAdmin230.js HTTP/1.1" 200 49111
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/resources/css/main.css HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:04 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/js/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:07:06 +0530] "GET /Application/Admin/images/Rail_Rvnl_Home.jpg HTTP/1.1" 200 118623
0:0:0:0:0:0:0:1 - - [03/Jul/2018:11:37:06 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:12:07:07 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:12:36:16 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:12:36:55 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13726
0:0:0:0:0:0:0:1 - - [03/Jul/2018:12:36:55 +0530] "GET /Application/Admin/resources/css/ThmBrown.css HTTP/1.1" 200 5466
0:0:0:0:0:0:0:1 - - [03/Jul/2018:12:36:58 +0530] "GET /Application/Admin/images/mygraph.png HTTP/1.1" 200 2742
0:0:0:0:0:0:0:1 - - [03/Jul/2018:12:37:00 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Jul/2018:13:19:43 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:13:49:44 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:14:19:45 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:14:49:46 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:15:17:37 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2018:15:18:17 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13726
0:0:0:0:0:0:0:1 - - [03/Jul/2018:15:48:20 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:16:18:21 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:16:48:22 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:17:18:23 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:17:48:23 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:20:22:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:20:52:16 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:21:22:17 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:21:52:17 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [03/Jul/2018:22:22:19 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10764
