0:0:0:0:0:0:0:1 - - [29/Aug/2018:21:50:49 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:01:18 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:01:44 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:02:27 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 13342
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:02:27 +0530] "GET /Application/Admin/resources/jQuery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:06:30 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:06:52 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:06:52 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11392
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:07:04 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:07:32 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12266
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:32:20 +0530] "GET /Application/Admin/ApprovalWorkflow.jsp HTTP/1.1" 200 12612
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:32:20 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:32:20 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:32:28 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:32:29 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css.map HTTP/1.1" 200 47706
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:32:32 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:32:32 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:38:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10854
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:38:22 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:38:49 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [29/Aug/2018:22:42:13 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 13342
