0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:53 +0530] "GET /Application/Admin/PullBack.jsp HTTP/1.1" 200 12022
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:53 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:53 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:53 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:53 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:58 +0530] "GET /Application/Admin/FinalApproval.jsp HTTP/1.1" 200 27963
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:58 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:58 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:35:58 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:04 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:04 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:16 +0530] "GET /Application/Admin/FinalApproval.jsp HTTP/1.1" 200 27963
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:16 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:23 +0530] "GET /Application/Admin/FinallyApprovedShow.jsp HTTP/1.1" 200 13961
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:23 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:23 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:23 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [25/Oct/2018:15:36:23 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
