0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:26:34 +0530] "GET /Application/Admin/js/jquery.dataTables.min.js HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:26:34 +0530] "GET /Application/Admin/js/jquery.dataTables.min.js HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:26:44 +0530] "POST /Application/Admin/searchCountry HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:26:47 +0530] "GET /Application/Admin/home HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:26:58 +0530] "POST /Application/Admin/searchCountry HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:52 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 500 3310
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/css/main-image-slider.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/scripts/plus.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/js/jquery.bootstrap-touchspin.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/css/bootstrap-multiselect.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/js/jszip.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/css/jquery.bootstrap-touchspin.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/scripts/minus.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/js/bootstrap-multiselect.js HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/js/jquery.bootstrap-touchspin.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:33:56 +0530] "GET /Application/Admin/js/jszip.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:23 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:26 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:34:52 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:35:16 +0530] "GET /Application/Admin/user_Project.jsp HTTP/1.1" 200 11391
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:35:22 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 13342
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:35:38 +0530] "GET /Application/Admin/css/main-image-slider.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:35:38 +0530] "GET /Application/Admin/css/bootstrap-multiselect.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:35:38 +0530] "GET /Application/Admin/css/jquery.bootstrap-touchspin.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/css/main-image-slider.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/css/bootstrap-multiselect.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/scripts/plus.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/css/jquery.bootstrap-touchspin.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/scripts/minus.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/js/bootstrap-multiselect.js HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/js/jquery.bootstrap-touchspin.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:35 +0530] "GET /Application/Admin/js/jszip.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:40 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:40 +0530] "GET /Application/Admin/css/main-image-slider.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:40 +0530] "GET /Application/Admin/css/bootstrap-multiselect.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [06/Sep/2018:11:46:40 +0530] "GET /Application/Admin/css/jquery.bootstrap-touchspin.css HTTP/1.1" 404 1055
