127.0.0.1 - - [26/Oct/2018:09:41:35 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:37:16 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:37:16 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:40:30 +0530] "GET /Application/Admin/zoneprojectdisplay.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:40:30 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:42:32 +0530] "GET /Application/Admin/zonepass.jsp HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:42:39 +0530] "GET /Application/Admin/Zonepass.jsp HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:43:02 +0530] "GET /Application/Admin/ZonePass.jsp HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:43:05 +0530] "GET /Application/Admin/ZonePass.jsp HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:43:07 +0530] "GET /Application/Admin/ZonePass.jsp HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:43:31 +0530] "GET /Application/Admin/Zone2inner.jsp HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:43:47 +0530] "GET /Application/Admin/zone2inner.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:43:47 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:43:57 +0530] "GET /Application/Admin/zone2inner.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:10:43:57 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
