127.0.0.1 - - [13/Jul/2018:10:27:03 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:27:35 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:27:38 +0530] "GET /Application/Admin/images/PDAMS_icon.ico HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:27:53 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:28:30 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:28:31 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:29:04 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:29:09 +0530] "GET /Application/Admin/c_user.jsp HTTP/1.1" 200 76392
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:39:12 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12389
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:39:12 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:39:40 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [13/Jul/2018:10:48:02 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:15:06 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 66822
0:0:0:0:0:0:0:1 - - [13/Jul/2018:11:45:07 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:12:15:42 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:12:46:08 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:13:16:08 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:13:30:35 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:13:31:08 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:01:32 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:31:32 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:47:47 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:48:13 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:18:13 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:31:03 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:31:28 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:41:02 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 66822
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:11:03 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:16:22 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:16:16:56 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
