127.0.0.1 - - [09/Aug/2018:10:41:57 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Aug/2018:10:42:08 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:10:42:12 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2018:10:42:37 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [09/Aug/2018:10:42:39 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Aug/2018:11:11:22 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 17135
0:0:0:0:0:0:0:1 - - [09/Aug/2018:11:11:22 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [09/Aug/2018:11:11:22 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [09/Aug/2018:11:24:11 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 17135
0:0:0:0:0:0:0:1 - - [09/Aug/2018:11:24:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [09/Aug/2018:11:24:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [09/Aug/2018:11:54:12 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:12:15:51 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2018:12:16:18 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [09/Aug/2018:12:46:08 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [09/Aug/2018:13:16:09 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:13:46:10 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:14:16:10 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:14:46:11 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:15:16:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:15:30:15 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2018:15:30:44 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [09/Aug/2018:15:51:29 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [09/Aug/2018:16:00:45 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [09/Aug/2018:16:30:46 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:16:49:53 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2018:16:50:19 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [09/Aug/2018:17:20:20 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:17:23:10 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2018:17:23:35 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [09/Aug/2018:17:54:21 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [09/Aug/2018:18:18:43 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Aug/2018:18:19:10 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [09/Aug/2018:18:19:33 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [09/Aug/2018:18:49:12 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [09/Aug/2018:19:00:50 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
