127.0.0.1 - - [18/Sep/2018:10:40:19 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:40:31 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:40:31 +0530] "GET /Application/Admin/images/RVNL_LOGO.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:40:31 +0530] "GET /Application/Admin/images/Rail_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:40:32 +0530] "GET /Application/Admin/images/PDAMS_icon.ico HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:40:40 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:06 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12268
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:07 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:12 +0530] "GET /Application/Admin/helpuser.jsp HTTP/1.1" 200 15882
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:12 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:12 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:12 +0530] "GET /Application/Admin/resources/JS/backButton.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:12 +0530] "GET /Application/Admin/resources/JS/validate230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:13 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [18/Sep/2018:10:41:13 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [18/Sep/2018:11:11:13 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:11:41:13 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:11:52:14 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:11:52:39 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12268
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:22:41 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:12:52:41 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:13:22:42 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:13:52:42 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:14:22:42 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:14:52:42 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:22:43 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:39:05 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:39:31 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 12268
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:40:11 +0530] "GET /Application/Admin/User_List.jsp HTTP/1.1" 200 9501
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:40:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:40:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:40:11 +0530] "GET /Application/Admin/resources/JS/Headquarter.js HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:40:11 +0530] "GET /Application/Admin/resources/JS/Reports230.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:40:19 +0530] "GET /Application/Admin/ShowUsers_list.jsp?Zone=NWR HTTP/1.1" 200 17078
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:40:32 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [18/Sep/2018:15:40:32 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [18/Sep/2018:16:10:12 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10852
0:0:0:0:0:0:0:1 - - [18/Sep/2018:16:10:13 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css.map HTTP/1.1" 200 47706
0:0:0:0:0:0:0:1 - - [18/Sep/2018:16:10:13 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2018:16:10:38 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
