127.0.0.1 - - [21/Aug/2018:10:31:14 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Aug/2018:10:36:42 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:10:36:42 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:10:38:10 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:10:38:36 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [21/Aug/2018:10:38:38 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/Aug/2018:10:44:19 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 13342
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:14:20 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:11:44:21 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:14:22 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:12:44:22 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:13:14:22 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:13:44:23 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:14:14:23 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:14:44:23 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:14:44:24 +0530] "GET /Application/Admin/images/PDAMS_icon.ico HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [21/Aug/2018:15:14:24 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:15:39:24 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:15:39:51 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [21/Aug/2018:15:40:10 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 13342
0:0:0:0:0:0:0:1 - - [21/Aug/2018:16:10:11 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:16:40:11 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:17:10:12 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [21/Aug/2018:17:33:07 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:17:33:33 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [21/Aug/2018:18:03:33 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
