127.0.0.1 - - [31/Aug/2018:11:01:15 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:02:56 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:02:56 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:03:15 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:03:51 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:03:53 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:16:27 +0530] "GET /Application/Admin/c_user.jsp HTTP/1.1" 200 76392
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:16:28 +0530] "GET /Application/Admin/resources/JS/Headquarter.js HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:18:40 +0530] "GET /Application/Admin/pass.jsp?ver=sysadmin HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:25:34 +0530] "GET /Application/Admin/ShowUsers.jsp?Zone=CR HTTP/1.1" 200 30710
0:0:0:0:0:0:0:1 - - [31/Aug/2018:11:46:09 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10823
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:16:10 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:36:38 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2018:12:37:10 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13660
0:0:0:0:0:0:0:1 - - [31/Aug/2018:13:07:11 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:13:37:12 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:14:07:14 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:14:37:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:15:07:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:15:37:16 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:16:07:17 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:16:37:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:17:07:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:17:37:18 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [31/Aug/2018:20:58:02 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
