127.0.0.1 - - [08/Aug/2018:10:42:34 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:42:50 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:43:03 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:43:31 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:43:33 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:44:00 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 17135
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:44:00 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:44:00 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:44:13 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [08/Aug/2018:10:44:13 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [08/Aug/2018:11:14:01 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [08/Aug/2018:11:14:02 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css.map HTTP/1.1" 200 47706
0:0:0:0:0:0:0:1 - - [08/Aug/2018:11:34:08 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2018:11:34:35 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [08/Aug/2018:12:00:50 +0530] "GET /Application/Admin/ManualMail.jsp HTTP/1.1" 200 7722
0:0:0:0:0:0:0:1 - - [08/Aug/2018:12:00:50 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [08/Aug/2018:12:00:50 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [08/Aug/2018:12:00:56 +0530] "GET /Application/Admin/FinallyApprovedShow.jsp HTTP/1.1" 200 13979
0:0:0:0:0:0:0:1 - - [08/Aug/2018:12:00:57 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [08/Aug/2018:12:00:57 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
